sofifa_id,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,overall,player_positions
190629,D. Villalva,Daniel Alberto Villalva Barrios,26,1992-07-06,159,62,Argentina,Tiburones Rojos de Veracruz,Mexican Liga MX,71,"RW, LM, RM"
190633,H. Dalsgaard,Henrik Dalsgaard,29,1989-07-27,192,81,Denmark,Brentford,English League Championship,71,"RWB, RB"
191058,Camora,Mário Jorge Malino Paulino,32,1986-09-21,177,69,Portugal,CFR Cluj,Romanian Liga I,71,LB
191566,Park Joo Ho,박주호 朴柱昊,32,1987-01-16,175,71,Korea Republic,Ulsan Hyundai FC,Korean K League Classic,71,"CM, LB"
191688,Botía,Alberto Tomás Botía Rabasco,30,1989-01-27,189,96,Spain,Al Hilal,Saudi Abdul L. Jameel League,71,CB
191910,Kim Shin Wook,김신욱 金信煜,31,1988-04-14,196,93,Korea Republic,Shanghai Greenland Shenhua FC,Chinese Super League,71,ST
192067,Júnior Dutra,Sérgio Dutra Júnior,31,1988-04-25,188,76,Brazil,Shimizu S-Pulse,Japanese J. League Division 1,71,"ST, RM"
192091,Welinton,Welinton Souza Silva,30,1989-04-10,181,81,Brazil,Alanyaspor,Turkish Süper Lig,71,CB
192122,Bóveda,Eneko Bóveda Altube,30,1988-12-14,180,77,Spain,Deportivo de La Coruña,Spanish Segunda División,71,"RB, CB"
192329,N. Obiora,Nwankwo Emeka Obiora,27,1991-07-12,186,81,Nigeria,Boavista FC,Portuguese Liga ZON SAGRES,71,CDM
192370,M. Formica,Mauro Abel Fórmica,31,1988-04-04,178,70,Argentina,Newell's Old Boys,Argentina Primera División,71,"CAM, ST, RM"
192476,Fontàs,Andreu Fontàs Prat,29,1989-11-14,185,86,Spain,Sporting Kansas City,USA Major League Soccer,71,CB
192608,M. Barthelmé,Maxime Barthelmé,30,1988-09-08,176,73,France,ESTAC Troyes,French Ligue 2,71,"CM, CAM, RM"
192636,David Simão,David Martins Simão,29,1990-05-15,183,74,Portugal,AEK Athens,Rest of World,71,"CM, CDM"
192732,E. Prib,Edgar Prib,29,1989-12-15,180,77,Russia,Hannover 96,German 2. Bundesliga,71,"LM, LB, CM"
192824,W. Mesloub,Walid Mesloub,33,1985-09-04,181,72,Algeria,Racing Club de Lens,French Ligue 2,71,"CAM, CM"
192922,O. Jiménez,Óscar Francisco Jiménez Fabela,30,1988-10-12,182,80,Mexico,Club América,Mexican Liga MX,71,GK
193147,A. Gonçalves,Anthony Gonçalves,33,1986-03-06,178,79,France,Stade Malherbe Caen,French Ligue 2,71,"CM, RM"
193169,C. Santos,Christian Robert Santos Kwasniewski,31,1988-03-24,184,79,Venezuela,Deportivo de La Coruña,Spanish Segunda División,71,ST
193185,S. Malone,Scott Malone,28,1991-03-25,189,75,England,Derby County,English League Championship,71,LB
193376,L. Nomenjanahary,Lalaïna Henintsoa Nomenjanahary,33,1986-01-16,177,76,Madagascar,Paris FC,French Ligue 2,71,"RM, RW"
193461,Fredy,Alfredo Kulembe Ribeiro,29,1990-03-27,170,68,Angola,Antalyaspor,Turkish Süper Lig,71,"CAM, LM"
193549,S. Hutchinson,Shaun Hutchinson,28,1990-11-23,188,80,England,Millwall,English League Championship,71,CB
193602,M. Coronel,Maximiliano Ángel Coronel,30,1989-04-28,180,82,Argentina,Gimnasia y Esgrima La Plata,Argentina Primera División,71,CB
193679,M. Correia,Marcel Correia,30,1989-05-16,186,81,Portugal,SSV Jahn Regensburg,German 2. Bundesliga,71,CB
193847,Osmar,Osmar Ibáñez Barba,31,1988-06-05,192,86,Spain,FC Seoul,Korean K League Classic,71,"CDM, CB, CM"
193942,J. Colback,Jack Colback,29,1989-10-24,177,77,England,Newcastle United,English Premier League,71,"CDM, CM"
194017,A. Weimann,Andreas Weimann,27,1991-08-05,178,76,Austria,Bristol City,English League Championship,71,"RM, ST"
194089,C. Moritz,Christoph Moritz,29,1990-01-27,186,80,Germany,Hamburger SV,German 2. Bundesliga,71,"CM, CDM"
194753,L. Marrone,Luca Marrone,29,1990-03-28,186,75,Italy,Hellas Verona,Italian Serie A,71,"CB, CDM"
194795,G. Jara,Gonzalo Alejandro Jara Reyes,33,1985-08-29,178,77,Chile,Estudiantes de La Plata,Argentina Primera División,71,CB
194945,R. Varga,Roland Varga,29,1990-01-23,182,79,Hungary,,,71,"RW, ST"
194956,Edgar Costa,José Edgar Andrade da Costa,32,1987-04-14,177,78,Portugal,Clube Sport Marítimo,Portuguese Liga ZON SAGRES,71,RM
195272,M. Faraoni,Marco Davide Faraoni,27,1991-10-25,180,71,Italy,Hellas Verona,Italian Serie A,71,"RM, RB, CM"
196151,S. Motta,Stalin Motta Vaquiro,35,1984-03-28,172,69,Colombia,La Equidad,Colombian Liga Postobón,71,"CDM, CAM, CM"
197238,I. Baldé,Ibrahima Baldé,30,1989-04-04,190,85,Senegal,Real Oviedo,Spanish Segunda División,71,ST
197300,A. El Said,Abdalla Mahmoud El Said Bekhit,33,1985-07-13,175,75,Egypt,,,71,"CAM, RM"
197777,J. Sala,Jacopo Sala,27,1991-12-05,181,75,Italy,Sampdoria,Italian Serie A,71,RB
197860,Ivo Pinto,Ivo Daniel Ferreira Mendonça Pinto,29,1990-01-07,184,70,Portugal,Dinamo Zagreb,Rest of World,71,RB
197937,P. Djilobodji,Papiss Mison Djilobodji,30,1988-12-01,193,82,Senegal,Gazişehir Gaziantep F.K.,Turkish Süper Lig,71,CB
198220,M. Bourabia,Mehdi Bourabia,27,1991-08-07,183,73,Morocco,Sassuolo,Italian Serie A,71,"CM, CDM, CAM"
198489,J. McClean,James McClean,30,1989-04-22,180,70,Republic of Ireland,Stoke City,English League Championship,71,"LW, LM, LB"
198611,N. Đurđić,Nikola Đurđić,33,1986-04-01,184,77,Serbia,Hammarby IF,Swedish Allsvenskan,71,"ST, CAM"
198631,Rodri,Rodrigo Ríos Lozano,29,1990-06-06,175,74,Spain,Granada CF,Spain Primera Division,71,ST
198914,J. Hochscheidt,Jan Hochscheidt,31,1987-10-04,180,82,Germany,FC Erzgebirge Aue,German 2. Bundesliga,71,"CAM, CM, LM"
199131,A. Tinnerholm,Anton Tinnerholm,28,1991-02-26,176,75,Sweden,New York City FC,USA Major League Soccer,71,"RB, RWB"
199152,D. Lekić,Dejan Lekić,34,1985-06-07,193,93,Serbia,Cádiz CF,Spanish Segunda División,71,ST
199169,K. Mokotjo,Kamohelo Mokotjo,28,1991-03-11,175,72,South Africa,Brentford,English League Championship,71,"CM, CDM"
199236,Hong Chul,홍철 洪喆,28,1990-09-17,176,70,Korea Republic,Suwon Samsung Bluewings,Korean K League Classic,71,"LB, LM"
199238,Yun Young Sun,윤영선 允永舜,30,1988-10-04,185,78,Korea Republic,Ulsan Hyundai FC,Korean K League Classic,71,CB
199282,A. Abrashi,Amir Abrashi,29,1990-03-27,170,74,Albania,SC Freiburg,German 1. Bundesliga,71,"CDM, CM"
199301,Hwang Il Soo,황일수 黄一秀,31,1987-08-08,173,72,Korea Republic,Ulsan Hyundai FC,Korean K League Classic,71,"LW, RW"
199490,Joselu,José Luís Moreno Barroso,28,1991-03-03,174,73,Spain,Real Oviedo,Spanish Segunda División,71,ST
199563,B. Balaj,Bekim Balaj,28,1991-01-11,188,78,Albania,SK Sturm Graz,Austrian Football Bundesliga,71,ST
199570,J. Sánchez,Jesús Enrique Sánchez García,29,1989-08-31,168,67,Mexico,Guadalajara,Mexican Liga MX,71,RB
199674,Jorge Teixeira,Jorge Filipe Avelino Teixeira,32,1986-08-27,189,89,Portugal,Sint-Truidense VV,Belgian Jupiler Pro League,71,CB
199726,M. Torsiglieri,Marco Natanel Torsiglieri,31,1988-01-12,190,86,Argentina,Gimnasia y Esgrima La Plata,Argentina Primera División,71,CB
199789,M. Yumlu,Mustafa Yumlu,31,1987-09-25,191,77,Turkey,Denizlispor,Turkish Süper Lig,71,CB
199800,Z. Bergdich,Zakarya Bergdich,30,1989-01-07,178,69,Morocco,Denizlispor,Turkish Süper Lig,71,LWB
199829,Timor,David Timor Copoví,29,1989-10-17,185,81,Spain,UD Las Palmas,Spanish Segunda División,71,"CM, CDM"
199909,P. Pervan,Pavao Pervan,31,1987-11-13,194,92,Austria,VfL Wolfsburg,German 1. Bundesliga,71,GK
199960,J. Paterson,Jamie Paterson,27,1991-12-20,175,67,England,Derby County,English League Championship,71,"LM, CAM"
200672,Zhang Linpeng,张琳芃,30,1989-05-09,186,78,China PR,Guangzhou Evergrande Taobao FC,Chinese Super League,71,"CB, RB"
200713,S. Aydoğdu,Soner Aydoğdu,28,1991-01-05,180,72,Turkey,Medipol Başakşehir FK,Turkish Süper Lig,71,"CM, CDM, CAM"
201136,M. Colin,Maxime Colin,27,1991-11-15,180,76,France,Birmingham City,English League Championship,71,"RWB, RB, LB"
201266,K. Kusk,Kasper Kusk Vangsgaard,27,1991-11-10,180,67,Denmark,Aalborg BK,Danish Superliga,71,"RW, RM"
201515,Kike Márquez,Enrique Márquez Climent,29,1989-07-23,176,72,Spain,Extremadura UD,Spanish Segunda División,71,"CAM, LM, ST"
201681,C. Quintero,César Alexander Quintero Jiménez,30,1988-11-09,189,74,Colombia,Atlético Bucaramanga,Colombian Liga Postobón,71,"RM, LM, CDM"
201698,M. Pátkai,Máté Pátkai,31,1988-03-06,173,69,Hungary,,,71,"CDM, CM"
201883,Alejandro Rodríguez,Alejandro Rodríguez de Miguel,27,1991-07-30,183,80,Spain,Chievo Verona,Italian Serie B,71,ST
201966,A. Søderlund,Alexander Toft Søderlund,31,1987-08-03,187,86,Norway,Rosenborg BK,Norwegian Eliteserien,71,ST
201971,A. Ienaga,家長 昭博,33,1986-06-13,173,70,Japan,Kawasaki Frontale,Japanese J. League Division 1,71,"RM, CAM"
202069,J. Fernández,José Luis Fernández,31,1987-10-26,169,67,Argentina,Atlético Tucumán,Argentina Primera División,71,"LM, LB"
202276,S. Zoller,Simon Zoller,28,1991-06-26,179,70,Germany,VfL Bochum 1848,German 2. Bundesliga,71,"ST, LM, RM"
202305,Lee Seung Gi,이승기 李胜基,31,1988-06-02,177,67,Korea Republic,Jeonbuk Hyundai Motors,Korean K League Classic,71,"CM, RM, CAM"
202356,Z. Erdal,Ziya Erdal,31,1988-01-05,182,73,Turkey,Sivasspor,Turkish Süper Lig,71,"LB, LM"
202491,T. Carroll,Tom Carroll,27,1992-05-28,178,66,England,Swansea City,English League Championship,71,CM
202873,K. Müller,Kevin Müller,28,1991-03-15,190,90,Germany,1. FC Heidenheim 1846,German 2. Bundesliga,71,GK
203594,H. Kekana,Hlompho Alpheus Kekana,34,1985-05-23,176,73,South Africa,,,71,CDM
204226,D. Lezcano,Darío Lezcano,29,1990-06-30,178,79,Paraguay,FC Juárez,Mexican Liga MX,71,ST
204280,Cristian Herrera,Cristian Ignacio Herrera Pérez,28,1991-03-13,186,79,Spain,CD Lugo,Spanish Segunda División,71,"ST, CAM"
204401,Diogo Figueiras,Diogo José Rosário Gomes Figueiras,28,1991-07-01,170,58,Portugal,SC Braga,Portuguese Liga ZON SAGRES,71,RB
204406,G. Achilier,Gabriel Eduardo Achilier Zurita,34,1985-03-24,179,85,Ecuador,Monarcas Morelia,Mexican Liga MX,71,CB
204450,P. Diamanka,Pape Maly Diamanka,29,1990-01-10,182,72,Senegal,Girona FC,Spanish Segunda División,71,"CM, CDM"
204468,T. Weilandt,Tom Weilandt,27,1992-04-27,186,73,Germany,VfL Bochum 1848,German 2. Bundesliga,71,"LM, RM, CAM"
204682,Rafael Lopes,Rafael Guimarães Lopes,27,1991-07-28,185,82,Portugal,Cracovia,Polish T-Mobile Ekstraklasa,71,ST
204688,S. Schwab,Stefan Schwab,28,1990-09-27,183,78,Austria,SK Rapid Wien,Austrian Football Bundesliga,71,"CM, CDM"
204771,R. Baca,Rafael Baca Miranda,29,1989-09-11,170,65,Mexico,Cruz Azul,Mexican Liga MX,71,"CM, CDM"
205212,David Ferreiro,David Ferreiro Quiroga,31,1988-04-01,170,63,Spain,SD Huesca,Spanish Segunda División,71,LM
205340,Marcelo,Marcelo dos Santos Ferreira,29,1989-07-27,178,74,Brazil,Chicago Fire,USA Major League Soccer,71,CB
205410,G. Espinoza,Gonzalo Alejandro Espinoza Toledo,29,1990-04-09,178,77,Chile,Universidad de Chile,Chilian Campeonato Nacional,71,"CM, CDM"
205598,André Sousa,André Alexandre Carreira Sousa,28,1990-07-09,181,78,Portugal,Os Belenenses,Portuguese Liga ZON SAGRES,71,"CM, CAM"
205963,D. Texeira,César David Texeira Torres,28,1991-02-27,182,69,Uruguay,Moreirense FC,Portuguese Liga ZON SAGRES,71,ST
205983,D. Đoković,Damjan Đoković,29,1990-04-18,190,86,Croatia,CFR Cluj,Romanian Liga I,71,"CM, CDM"
206006,E. Alioski,Ezgjan Alioski,27,1992-02-12,172,63,North Macedonia,Leeds United,English League Championship,71,"LB, LM, RM"
206042,J. Dezi,Jacopo Dezi,27,1992-02-10,178,68,Italy,Empoli,Italian Serie B,71,CM
206147,M. Antonsson,Marcus Antonsson,28,1991-05-08,184,80,Sweden,Malmö FF,Swedish Allsvenskan,71,ST
206272,C. Bălgrădean,Cristian Emanuel Bălgrădean,31,1988-03-21,187,83,Romania,FCSB (Steaua),Romanian Liga I,71,GK
206435,A. Giannou,Apostolos Giannou,29,1990-01-25,185,79,Australia,,,71,ST
207788,S. Ben Youssef,Syam Ben Youssef,30,1989-03-31,189,82,Tunisia,Kasimpaşa SK,Turkish Süper Lig,71,CB
207858,D. Dwyer,Dom Dwyer,28,1990-07-30,175,79,United States,Orlando City SC,USA Major League Soccer,71,ST
208047,Kim In Seong,김인성 金仁成,29,1989-09-09,180,74,Korea Republic,Ulsan Hyundai FC,Korean K League Classic,71,"RM, RW"
208099,I. Runje,Ivan Runje,28,1990-10-09,192,87,Croatia,Jagiellonia Białystok,Polish T-Mobile Ekstraklasa,71,CB
208679,R. Himmelmann,Robin Himmelmann,30,1989-02-05,187,80,Germany,FC St. Pauli,German 2. Bundesliga,71,GK
208730,E. Valentini,Enrico Valentini,30,1989-02-20,182,78,Germany,1. FC Nürnberg,German 2. Bundesliga,71,"RB, RM"
208835,Y. M'Changama,Youssouf Yacoub M'Changama,28,1990-08-29,175,70,Comoros,Grenoble Foot 38,French Ligue 2,71,"CM, CAM"
209407,L. Lollo,Lorenzo Lollo,28,1990-12-08,180,75,Italy,Empoli,Italian Serie B,71,"CM, CF"
209819,E. Pačinda,Erik Pačinda,30,1989-05-09,175,66,Slovakia,Korona Kielce,Polish T-Mobile Ekstraklasa,71,LM
209888,C. Goodwin,Craig Goodwin,27,1991-12-16,180,73,Australia,Al Wehda,Saudi Abdul L. Jameel League,71,"LM, LW"
210118,Hélder Lopes,Hélder Filipe Oliveira Lopes,30,1989-01-04,179,66,Portugal,AEK Athens,Rest of World,71,LB
210126,H. Kiyotake,清武 弘嗣,29,1989-11-12,172,66,Japan,Cerezo Osaka,Japanese J. League Division 1,71,"LM, CF, RM"
210129,G. Lovrencsics,Gergő Lovrencsics,30,1988-09-01,177,79,Hungary,,,71,"RB, RM"
210532,M. Abero,Mathías Nicolás Abero Villan,29,1990-04-09,184,81,Uruguay,Patronato,Argentina Primera División,71,"LB, LM"
210695,H. Aleesami,Haitam Aleesami,27,1991-07-31,183,81,Norway,Amiens SC,French Ligue 1,71,"LB, LM"
211060,Elsinho,Elson Ferreira de Souza,29,1989-11-30,180,78,Brazil,Shimizu S-Pulse,Japanese J. League Division 1,71,"RB, RM"
211265,A. Rojas,Ariel Mauricio Rojas,33,1986-01-16,176,82,Argentina,Atlético Tucumán,Argentina Primera División,71,"CM, CDM, LM"
211327,M. Goicoechea,Mauro Daniel Goicoechea Furia,31,1988-03-27,186,82,Uruguay,Toulouse Football Club,French Ligue 1,71,GK
211903,B. Kololli,Benjamin Kololli,27,1992-05-15,184,82,Kosovo,FC Zürich,Swiss Super League,71,LM
212048,A. Chipciu,Alexandru Mihăiță Chipciu,30,1989-05-18,177,73,Romania,,,71,RM
212226,D. Nistor,Dan Nicolae Nistor,31,1988-05-06,172,75,Romania,Dinamo Bucureşti,Romanian Liga I,71,"CM, CAM"
212519,R. Philippoteaux,Romain Philippoteaux,31,1988-03-02,170,67,France,Nîmes Olympique,French Ligue 1,71,"LM, LW"
212632,W. Dutoit,William Dutoit,30,1988-09-18,181,76,France,KV Oostende,Belgian Jupiler Pro League,71,GK
213106,R. Sigurjónsson,Rúnar Már Sigurjónsson,29,1990-06-18,178,83,Iceland,,,71,"CM, CDM"
213113,M. Cabrera,Matías Julio Cabrera Acevedo,33,1986-05-16,177,69,Uruguay,Deportivo Cali,Colombian Liga Postobón,71,"CDM, CM, CAM"
213718,B. Acosta,Bismar Gilberto Acosta Evans,32,1986-12-19,182,92,Costa Rica,SK Brann,Norwegian Eliteserien,71,CB
214006,Y. Candelo,Yerson Candelo Miranda,27,1992-02-24,172,67,Colombia,Atlético Nacional,Colombian Liga Postobón,71,"RM, CM"
214146,E. Perlaza,Elvis Yohan Perlaza Lara,30,1989-03-07,171,75,Colombia,Independiente Medellín,Colombian Liga Postobón,71,RB
214153,J. Pérez,Juan David Pérez Benítez,28,1991-03-23,178,72,Colombia,Millonarios FC,Colombian Liga Postobón,71,"ST, LM"
214379,A. Rodríguez,Ángelo José Rodríguez Henry,30,1989-04-04,181,80,Colombia,Minnesota United FC,USA Major League Soccer,71,ST
214515,M. Piedrahita,Marlon Javier Piedrahita Londoño,34,1985-06-13,175,79,Colombia,Junior FC,Colombian Liga Postobón,71,RB
214603,F. Díaz,Farid Alfonso Díaz Rhenals,35,1983-07-20,169,69,Colombia,Alianza Petrolera,Colombian Liga Postobón,71,LB
214668,L. Barrera,Leandro Iván Barrera,28,1991-02-22,179,79,Argentina,Clube Sport Marítimo,Portuguese Liga ZON SAGRES,71,LM
214685,P. Rubio,Patricio Rodolfo Rubio Pulgar,30,1989-04-18,174,74,Chile,CD Universidad de Concepción,Chilian Campeonato Nacional,71,"ST, LW"
214965,C. Riaño,Claudio Maximiliano Riaño,30,1988-08-04,177,75,Argentina,Rosario Central,Argentina Primera División,71,ST
215111,G. Verón,Gonzalo Alberto Verón,29,1989-12-24,178,76,Argentina,Club Atlético Aldosivi,Argentina Primera División,71,"RM, LM, ST"
215309,L. Albertengo,Lucas Gabriel Albertengo,28,1991-01-30,187,75,Argentina,Newell's Old Boys,Argentina Primera División,71,ST
216302,E. García,Emmanuel García Vaca,29,1989-12-28,168,67,Mexico,Pachuca,Mexican Liga MX,71,LB
216530,P. Velázquez,Pablo César Velázquez Centurión,32,1987-03-12,190,85,Paraguay,Gimnasia y Esgrima La Plata,Argentina Primera División,71,ST
216692,S. Torrico,Sebastián Alberto Torrico,39,1980-02-22,183,84,Argentina,San Lorenzo de Almagro,Argentina Primera División,71,GK
218747,C. Pinares,César Ignacio Pinares Tamayo,28,1991-05-23,176,73,Chile,Universidad Católica,Chilian Campeonato Nacional,71,"CAM, CM, LM"
219641,Cristian López,Cristian López Santamaría,30,1989-04-27,185,80,Spain,Angers SCO,French Ligue 1,71,ST
219751,Alex Soares,Alexandre Miguel Barros Soares,28,1991-03-01,177,69,Portugal,Moreirense FC,Portuguese Liga ZON SAGRES,71,CM
222986,M. Morishige,森重 真人,32,1987-05-21,183,78,Japan,FC Tokyo,Japanese J. League Division 1,71,CB
223065,G. Toledo,Gustavo Ariel Toledo,29,1989-09-19,175,72,Argentina,Atlético Tucumán,Argentina Primera División,71,RB
223136,Y. Erdoğan,Yusuf Erdoğan,26,1992-08-07,171,68,Turkey,Kasimpaşa SK,Turkish Süper Lig,71,"LM, RM"
223575,Rafael Costa,Rafael Eduardo Costa,28,1991-01-19,183,77,Brazil,Boavista FC,Portuguese Liga ZON SAGRES,71,"CM, CAM"
224057,A. Farías,Carlos Agustín Farías,31,1987-12-25,178,73,Argentina,CD Palestino,Chilian Campeonato Nacional,71,"CDM, CM"
224146,Jesús Imaz,Jesús Imaz Ballesté,28,1990-09-26,179,70,Spain,Jagiellonia Białystok,Polish T-Mobile Ekstraklasa,71,"CAM, ST"
224317,J. Cabrera,Marcelo Javier Cabrera Rivero,27,1992-03-18,167,63,Uruguay,Melbourne City FC,Australian Hyundai A-League,71,"RM, LM, RW"
224336,T. Romanczuk,Taras Wiktorowicz Romanczuk,27,1991-11-14,186,77,Poland,Jagiellonia Białystok,Polish T-Mobile Ekstraklasa,71,CDM
224542,N. Leyes,Nery Francisco Leyes,29,1989-09-05,181,78,Argentina,CD Antofagasta,Chilian Campeonato Nacional,71,"CDM, CM"
225145,R. Mphahlele,Ramahlwe Mphahlele,29,1990-02-01,185,80,South Africa,Kaizer Chiefs,Rest of World,71,"RB, CB, RWB"
226419,F. Sambueza,Fabián Héctor Sambueza,30,1988-08-01,170,65,Argentina,Independiente Santa Fe,Colombian Liga Postobón,71,"RM, CAM"
227232,F. Sotoca,Florian Sotoca,28,1990-10-25,187,77,France,Racing Club de Lens,French Ligue 2,71,"ST, RM"
227537,H. Veerman,Henk Veerman,28,1991-02-26,201,90,Netherlands,FC St. Pauli,German 2. Bundesliga,71,ST
228967,Edu Machado,Eduardo José Borges Machado,29,1990-04-26,175,70,Portugal,Boavista FC,Portuguese Liga ZON SAGRES,71,RB
229209,J. Benítez,Jonathan Oscar Benítez,27,1991-09-04,178,77,Argentina,Coquimbo Unido,Chilian Campeonato Nacional,71,LW
229694,Moon Seon Min,문선민 蒙善民,27,1992-06-09,172,68,Korea Republic,Jeonbuk Hyundai Motors,Korean K League Classic,71,"LW, LM, ST"
230181,Heitor Gesse,Heitor Edvaldo Barreto Gesser,35,1984-02-29,178,69,Brazil,Cruzeiro,Campeonato Brasileiro Série A,71,LB
230188,Alam Araújo,Alam Cristian Araújo Martins,27,1992-02-29,178,78,Brazil,Grêmio,Campeonato Brasileiro Série A,71,"LB, LM"
230235,Alex das Freitas,Alex Alessandro Freitas Conceição,31,1988-02-29,172,76,Brazil,CSA - AL,Campeonato Brasileiro Série A,71,"CDM, CM"
230263,Adeilson Gesser,Adeilson Daniel Gesser Esser,27,1992-02-29,175,70,Brazil,Bahia,Campeonato Brasileiro Série A,71,CAM
230266,Heltinho Melo,Heltinho Melo Chaves,35,1984-02-29,174,68,Brazil,Club Athletico Paranaense,Campeonato Brasileiro Série A,71,"CAM, RB"
230275,Emerson Avintes,Emerson Maicon Avintes Reis,27,1992-02-29,177,71,Brazil,Chapecoense,Campeonato Brasileiro Série A,71,"CAM, RM"
230292,Eltildo Bessa,Elton Matheus Bessa Acuna,35,1984-02-29,165,62,Brazil,Fortaleza,Campeonato Brasileiro Série A,71,"ST, CF, LW"
230319,André Milazisco,André Mikael Milazar Santoso,35,1984-02-29,188,85,Brazil,Club Athletico Paranaense,Campeonato Brasileiro Série A,71,GK
230332,Wiliam Santinho,Wiliam Carlos Santoso Sampaio,35,1984-02-29,195,91,Brazil,Fluminense,Campeonato Brasileiro Série A,71,GK
230335,Wagner Orsinho,Wagner Mauro Orsi Vasquez,31,1988-02-29,176,69,Brazil,Fluminense,Campeonato Brasileiro Série A,71,LB
230340,Luisinho Conradi,Luisinho Lúcio Conradi Andrade,31,1988-02-29,174,78,Brazil,Atlético Mineiro,Campeonato Brasileiro Série A,71,LB
230358,Tramontinaldo,Márcio Anderson Tramontino Sá,35,1984-02-29,175,71,Brazil,Club Athletico Paranaense,Campeonato Brasileiro Série A,71,"RB, RM"
230366,Silvosinho,Thomas Nicolas Silva Rangel,35,1984-02-29,177,73,Brazil,Santos,Campeonato Brasileiro Série A,71,"RB, RM, RWB"
230367,Tony Muttinho,Tony Josimar Mutto Abrão,35,1984-02-29,183,80,Brazil,Fortaleza,Campeonato Brasileiro Série A,71,"RB, RWB, RM"
230383,Pombaxinho,Arturo Jonaldo Pombal de Faria,35,1984-02-29,191,90,Brazil,Goiás,Campeonato Brasileiro Série A,71,CB
230387,Heitinho Zanon,Heitor Edvaldo Zanon Barros,35,1984-02-29,187,79,Brazil,Bahia,Campeonato Brasileiro Série A,71,"CB, LB"
230400,Allison Sireo,Allison Alan Sireo Milazar,31,1988-02-29,194,85,Brazil,CSA - AL,Campeonato Brasileiro Série A,71,CB
230407,Miltisco Paulino,M. Vanderlei Paulino Kenedy,31,1988-02-29,180,77,Brazil,Santos,Campeonato Brasileiro Série A,71,CB
230459,Tiago Pombeira,Tiago Nathan Pombeira Gesser,31,1988-02-29,173,65,Brazil,Atlético Mineiro,Campeonato Brasileiro Série A,71,CAM
230486,Paulolettinho,Paulo Bernard Alves Coelho,35,1984-02-29,181,80,Brazil,Fortaleza,Campeonato Brasileiro Série A,71,"CAM, RM, RW"
230522,Nascimentardo,Jonas Welson Orsi de Meneses,31,1988-02-29,170,66,Brazil,Ceará Sporting Club,Campeonato Brasileiro Série A,71,"CAM, CF"
230531,Saberto Botelho,Saberto Josué Botelho Rios,31,1988-02-29,182,77,Brazil,Club Athletico Paranaense,Campeonato Brasileiro Série A,71,CDM
232512,Y. Kashiwa,柏好 文,31,1987-07-28,168,62,Japan,Sanfrecce Hiroshima,Japanese J. League Division 1,71,"LM, CAM"
232608,H. Abe,阿部 浩之,29,1989-07-05,170,69,Japan,Kawasaki Frontale,Japanese J. League Division 1,71,"CAM, ST, LM"
232692,G. Acosta,Guillermo Gastón Acosta,30,1988-10-30,168,73,Argentina,Atlético Tucumán,Argentina Primera División,71,"CM, RM"
232695,F. Sbuttoni,Franco Sbuttoni,30,1989-05-06,190,87,Argentina,Arsenal de Sarandí,Argentina Primera División,71,CB
232860,K. Higashi,东庆 悟,28,1990-07-20,178,72,Japan,FC Tokyo,Japanese J. League Division 1,71,"LM, RM, CM"
233871,Júnior Morais,Iraneuton Sousa Morais Júnior,32,1986-07-22,176,77,Brazil,Gazişehir Gaziantep F.K.,Turkish Süper Lig,71,"LB, CDM"
233974,Nathael Silbeira,Nathael Walter Silbeira Caeiro,35,1984-02-29,188,83,Brazil,Cruzeiro,Campeonato Brasileiro Série A,71,GK
233977,Eduardo Fonseira,Eduardo Flávio Fonseira Meire,31,1988-02-29,191,87,Brazil,Botafogo,Campeonato Brasileiro Série A,71,GK
234488,M. Rygaard,Mikkel Rygaard Jensen,28,1990-12-25,179,73,Denmark,FC Nordsjælland,Danish Superliga,71,"CAM, CF, CM"
234514,O. El Hajjam,Oualid El Hajjam,28,1991-02-19,181,73,Morocco,ESTAC Troyes,French Ligue 2,71,RB
234670,Jorge Fellipe,Jorge Fellipe de Oliveira Figueiro,30,1988-10-27,195,88,Brazil,Damac FC,Saudi Abdul L. Jameel League,71,CB
234816,N. Gorosito,Nicolás Ezequiel Gorosito,30,1988-08-17,186,79,Argentina,Albacete BP,Spanish Segunda División,71,CB
234873,M. Pajač,Marko Pajač,26,1993-05-11,185,69,Croatia,Cagliari,Italian Serie A,71,"LM, LB, CAM"
234980,Y. Shakhov,Yevhen Shakhov,28,1990-11-30,189,82,Ukraine,Lecce,Italian Serie A,71,"CM, CDM, CAM"
235317,J. Mosquera,Jhon Edison Mosquera Rebolledo,29,1990-05-08,186,78,Colombia,Deportivo Cali,Colombian Liga Postobón,71,"LM, LW"
235502,Luisinho,Luis Gustavo Melere da Silva,28,1991-03-10,176,67,Brazil,Al Faisaly,Saudi Abdul L. Jameel League,71,"LM, RM, CAM"
235561,K. Fortuné,Kévin Fortuné,29,1989-08-06,182,80,France,ESTAC Troyes,French Ligue 2,71,ST
236071,João Bardinho,João Rodolfo Bardinho Barros,35,1984-02-29,177,71,Brazil,Botafogo,Campeonato Brasileiro Série A,71,"LB, RB"
236164,Martin Cordeia,Martin Victor Cordeia Damasco,35,1984-02-29,181,76,Brazil,Internacional,Campeonato Brasileiro Série A,71,"CAM, CM"
